Iteration,Fitness,Chromosomes
0,16.22,[-6.15, 0.83, 9.55, -0.72, -7.03, 5.73, 4.91, 0.5, 0.83, -9.47, 3.16]
100,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
200,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
300,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
400,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
500,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
600,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
700,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
800,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
900,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
1000,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
1100,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
1200,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
1300,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
1400,0.14,[-0.1, -0.1, -0.08, -0.03, -0.1, 0.01, -3.04, -0.14, -0.05, 0.02, 3.28]
1500,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
1600,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
1700,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
1800,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
1900,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
2000,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
2100,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
2200,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
2300,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
2400,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
2500,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
2600,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
2700,0.13,[0.01, -0.1, -0.08, -0.03, -0.1, 0.01, -0.02, -0.02, -0.1, 0.0, 3.28]
