Iteration,Fitness,Chromosomes
0,0.0,[8.44, 9.38, 10.14]
100,0.0,[8.44, 9.38, 10.14]
200,0.0,[8.44, 9.38, 10.14]
300,0.0,[8.44, 9.38, 10.14]
400,0.0,[8.44, 9.38, 10.14]
500,0.0,[8.44, 9.38, 10.14]
600,0.0,[8.44, 9.38, 10.14]
700,0.0,[8.44, 9.38, 10.14]
800,0.0,[8.44, 9.38, 10.14]
900,0.0,[8.44, 9.38, 10.14]
1000,0.0,[8.44, 9.38, 10.14]
1100,0.0,[8.44, 9.38, 10.14]
1200,0.0,[8.44, 9.38, 10.14]
1300,0.0,[8.44, 9.38, 10.14]
1400,0.0,[8.44, 9.38, 10.14]
1500,0.0,[8.44, 9.38, 10.14]
1600,0.0,[8.44, 9.38, 10.14]
1700,0.0,[8.44, 9.38, 10.14]
1800,0.0,[8.44, 9.38, 10.14]
1900,0.0,[8.44, 9.38, 10.14]
2000,0.0,[8.44, 9.38, 10.14]
2100,0.0,[8.44, 9.38, 10.14]
2200,0.0,[8.44, 9.38, 10.14]
2300,0.0,[8.44, 9.38, 10.14]
2400,0.0,[8.44, 9.38, 10.14]
2500,0.0,[8.44, 9.38, 10.14]
2600,0.0,[8.44, 9.38, 10.14]
2700,0.0,[8.44, 9.38, 10.14]
2800,0.0,[8.44, 9.38, 10.14]
2900,0.0,[8.44, 9.38, 10.14]
3000,0.0,[8.44, 9.38, 10.14]
3100,0.0,[8.44, 9.38, 10.14]
3200,0.0,[8.44, 9.38, 10.14]
3300,0.0,[8.44, 9.38, 10.14]
3400,0.0,[8.44, 9.38, 10.14]
3500,0.0,[8.44, 9.38, 10.14]
3600,0.0,[8.44, 9.38, 10.14]
3700,0.0,[8.44, 9.38, 10.14]
3800,0.0,[8.44, 9.38, 10.14]
3900,0.0,[8.44, 9.38, 10.14]
4000,0.0,[8.44, 9.38, 10.14]
4100,0.0,[8.44, 9.38, 10.14]
4200,0.0,[8.44, 9.38, 10.14]
4300,0.0,[8.44, 9.38, 10.14]
4400,0.0,[8.44, 9.38, 10.14]
4500,0.0,[8.44, 9.38, 10.14]
4600,0.0,[8.44, 9.38, 10.14]
4700,0.0,[8.44, 9.38, 10.14]
4800,0.0,[8.44, 9.38, 10.14]
4900,0.0,[8.44, 9.38, 10.14]
5000,0.0,[8.44, 9.38, 10.14]
5100,0.0,[8.44, 9.38, 10.14]
5200,0.0,[8.44, 9.38, 10.14]
5300,0.0,[8.44, 9.38, 10.14]
5400,0.0,[8.44, 9.38, 10.14]
5500,0.0,[8.44, 9.38, 10.14]
5600,0.0,[8.44, 9.38, 10.14]
5700,0.0,[8.44, 9.38, 10.14]
5800,0.0,[8.44, 9.38, 10.14]
5900,0.0,[8.44, 9.38, 10.14]
5998,0.0,[8.44, 9.38, 10.14]
