Iteration,Fitness,Chromosomes
0,26.05363942499784,[-4.79, 1.13]
100,0.11835411947420876,[0.0, 0.24]
200,0.11835411947420876,[0.0, 0.24]
300,0.11835411947420876,[0.0, 0.24]
400,0.11835411947420876,[0.0, 0.24]
500,0.11835411947420876,[0.0, 0.24]
600,0.11835411947420876,[0.0, 0.24]
700,0.11835411947420876,[0.0, 0.24]
800,0.11835411947420876,[0.0, 0.24]
900,0.11835411947420876,[0.0, 0.24]
1000,0.11835411947420876,[0.0, 0.24]
1100,0.11835411947420876,[0.0, 0.24]
1200,0.11835411947420876,[0.0, 0.24]
1300,0.11835411947420876,[0.0, 0.24]
1400,0.11835411947420876,[0.0, 0.24]
1500,0.11835411947420876,[0.0, 0.24]
1600,0.11835411947420876,[0.0, 0.24]
1700,0.11835411947420876,[0.0, 0.24]
1800,0.11835411947420876,[0.0, 0.24]
1900,0.11835411947420876,[0.0, 0.24]
2000,0.11835411947420876,[0.0, 0.24]
2100,0.11835411947420876,[0.0, 0.24]
2200,0.11835411947420876,[0.0, 0.24]
2300,0.11835411947420876,[0.0, 0.24]
2400,0.11835411947420876,[0.0, 0.24]
2500,0.11835411947420876,[0.0, 0.24]
2600,0.11835411947420876,[0.0, 0.24]
2700,0.11835411947420876,[0.0, 0.24]
2800,0.11835411947420876,[0.0, 0.24]
2900,0.11835411947420876,[0.0, 0.24]
3000,0.11835411947420876,[0.0, 0.24]
3100,0.11835411947420876,[0.0, 0.24]
3200,0.11835411947420876,[0.0, 0.24]
3300,0.11835411947420876,[0.0, 0.24]
3400,0.11835411947420876,[0.0, 0.24]
3500,0.11835411947420876,[0.0, 0.24]
3600,0.11835411947420876,[0.0, 0.24]
3700,0.11835411947420876,[0.0, 0.24]
3800,0.11835411947420876,[0.0, 0.24]
3900,0.11835411947420876,[0.0, 0.24]
4000,0.11835411947420876,[0.0, 0.24]
4100,0.11835411947420876,[0.0, 0.24]
4200,0.11835411947420876,[0.0, 0.24]
4300,0.11835411947420876,[0.0, 0.24]
4400,0.11835411947420876,[0.0, 0.24]
4500,0.11835411947420876,[0.0, 0.24]
4600,0.11835411947420876,[0.0, 0.24]
4700,0.11835411947420876,[0.0, 0.24]
4800,0.11835411947420876,[0.0, 0.24]
4900,0.11835411947420876,[0.0, 0.24]
5000,0.11835411947420876,[0.0, 0.24]
5100,0.11835411947420876,[0.0, 0.24]
5200,0.11835411947420876,[0.0, 0.24]
5300,0.11835411947420876,[0.0, 0.24]
5400,0.11835411947420876,[0.0, 0.24]
5500,0.11835411947420876,[0.0, 0.24]
5600,0.11835411947420876,[0.0, 0.24]
5700,0.11835411947420876,[0.0, 0.24]
5800,0.11835411947420876,[0.0, 0.24]
5900,0.11835411947420876,[0.0, 0.24]
